IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.67.135.46,443,443,true,FRA,Europe,Frankfurt,264,5.40
144.21.34.164,443,443,true,FRA,Europe,Frankfurt,253,5.40
152.70.48.166,443,443,true,FRA,Europe,Frankfurt,279,5.40
141.147.72.31,443,443,true,FRA,Europe,Frankfurt,264,5.39
158.178.154.238,443,443,true,FRA,Europe,Frankfurt,256,5.39
193.123.58.165,443,443,true,FRA,Europe,Frankfurt,259,5.38
141.147.105.239,443,443,true,FRA,Europe,Frankfurt,265,5.37
141.144.233.22,443,443,true,FRA,Europe,Frankfurt,320,5.37
158.101.202.22,443,443,true,FRA,Europe,Frankfurt,258,5.36
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,114,5.35
141.147.88.102,443,443,true,FRA,Europe,Frankfurt,294,5.35
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,71,5.34
158.180.27.179,443,443,true,FRA,Europe,Frankfurt,247,5.33
140.238.95.175,443,443,true,FRA,Europe,Frankfurt,267,5.33
152.70.176.74,443,443,true,FRA,Europe,Frankfurt,249,5.33
193.123.33.187,443,443,true,FRA,Europe,Frankfurt,264,5.32
158.178.148.88,443,443,true,FRA,Europe,Frankfurt,277,5.32
158.101.220.66,443,443,true,FRA,Europe,Frankfurt,256,5.32
152.70.51.28,443,443,true,FRA,Europe,Frankfurt,255,5.29
140.238.122.90,443,443,true,FRA,Europe,Frankfurt,299,5.28
158.180.61.14,443,443,true,FRA,Europe,Frankfurt,255,5.27
84.235.172.34,443,443,true,FRA,Europe,Frankfurt,273,5.26
89.168.72.42,443,443,true,FRA,Europe,Frankfurt,322,5.25
193.123.34.208,443,443,true,FRA,Europe,Frankfurt,271,5.23
141.147.80.129,443,443,true,FRA,Europe,Frankfurt,275,5.21
158.180.24.71,443,443,true,FRA,Europe,Frankfurt,254,5.20
130.162.186.140,443,443,true,FRA,Europe,Frankfurt,280,5.20
144.21.61.65,443,443,true,FRA,Europe,Frankfurt,275,5.19
158.178.149.180,443,443,true,FRA,Europe,Frankfurt,258,5.19
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,75,5.18
158.178.153.142,443,443,true,FRA,Europe,Frankfurt,256,5.17
129.151.152.254,80,80,false,AMS,Europe,Amsterdam,86,5.16
141.147.95.130,443,443,true,FRA,Europe,Frankfurt,310,5.14
89.168.67.81,443,443,true,FRA,Europe,Frankfurt,261,5.14
141.147.4.10,443,443,true,FRA,Europe,Frankfurt,325,5.13
152.70.184.58,443,443,true,FRA,Europe,Frankfurt,336,5.11
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,106,5.10
141.147.114.234,443,443,true,FRA,Europe,Frankfurt,290,5.09
193.123.34.208,443,443,true,FRA,Europe,Frankfurt,264,5.09
150.230.121.180,443,443,true,FRA,Europe,Frankfurt,257,5.05
141.144.195.65,443,443,true,FRA,Europe,Frankfurt,256,5.05
130.162.188.201,443,443,true,FRA,Europe,Frankfurt,256,5.04
158.178.157.91,443,443,true,FRA,Europe,Frankfurt,253,5.03
141.144.197.97,443,443,true,FRA,Europe,Frankfurt,255,5.02
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,115,5.02
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,101,4.99
152.70.51.86,443,443,true,FRA,Europe,Frankfurt,262,4.92
158.180.48.214,443,443,true,FRA,Europe,Frankfurt,254,4.91
141.147.114.94,443,443,true,FRA,Europe,Frankfurt,264,4.90
158.101.221.105,443,443,true,FRA,Europe,Frankfurt,275,4.90
158.180.54.236,443,443,true,FRA,Europe,Frankfurt,323,4.89
141.147.100.112,443,443,true,FRA,Europe,Frankfurt,275,4.88
143.47.233.253,443,443,true,FRA,Europe,Frankfurt,235,4.88
130.162.191.16,443,443,true,FRA,Europe,Frankfurt,265,4.88
143.47.234.112,443,443,true,FRA,Europe,Frankfurt,264,4.85
141.147.115.199,443,443,true,FRA,Europe,Frankfurt,272,4.84
84.8.157.53,443,443,true,FRA,Europe,Frankfurt,257,4.84
144.21.32.51,443,443,true,FRA,Europe,Frankfurt,278,4.84
144.21.34.64,443,443,true,FRA,Europe,Frankfurt,260,4.82
141.147.71.32,443,443,true,FRA,Europe,Frankfurt,268,4.82
141.148.233.72,443,443,true,FRA,Europe,Frankfurt,253,4.82
150.230.125.183,443,443,true,FRA,Europe,Frankfurt,256,4.82
141.144.206.127,443,443,true,FRA,Europe,Frankfurt,264,4.78
152.67.128.109,443,443,true,FRA,Europe,Frankfurt,261,4.76
155.248.196.123,443,443,true,YVR,North America,Vancouver,179,4.76
141.148.246.53,443,443,true,FRA,Europe,Frankfurt,255,4.76
132.145.11.87,443,443,true,FRA,Europe,Frankfurt,258,4.75
144.24.163.92,443,443,true,FRA,Europe,Frankfurt,247,4.73
143.47.232.245,443,443,true,FRA,Europe,Frankfurt,267,4.70
84.235.172.13,443,443,true,FRA,Europe,Frankfurt,266,4.69
158.101.98.60,2095,443,true,IAD,North America,Ashburn,237,4.68
141.148.229.69,443,443,true,FRA,Europe,Frankfurt,260,4.67
141.147.88.162,443,443,true,FRA,Europe,Frankfurt,255,4.65
141.148.227.34,443,443,true,FRA,Europe,Frankfurt,255,4.65
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,323,4.64
132.226.208.24,443,443,true,FRA,Europe,Frankfurt,269,4.62
138.2.226.15,443,443,true,SJC,North America,San Jose,175,4.58
144.21.56.136,443,443,true,FRA,Europe,Frankfurt,264,4.58
193.123.60.228,443,443,true,FRA,Europe,Frankfurt,250,4.58
158.101.203.109,443,443,true,FRA,Europe,Frankfurt,258,4.55
141.148.237.10,443,443,true,FRA,Europe,Frankfurt,255,4.53
192.18.139.229,8443,443,true,SJC,North America,San Jose,176,4.53
132.145.54.84,2053,443,true,LHR,Europe,London,257,4.49
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,249,4.47
141.147.114.198,443,443,true,FRA,Europe,Frankfurt,247,4.45
