IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.141.210.131,443,443,true,FRA,Europe,Frankfurt,196,9.37
34.147.8.211,443,443,true,FRA,Europe,Frankfurt,207,9.37
34.65.16.29,443,443,true,FRA,Europe,Frankfurt,202,9.35
34.65.64.197,443,443,true,FRA,Europe,Frankfurt,189,9.35
34.107.94.79,443,443,true,FRA,Europe,Frankfurt,184,9.35
34.147.125.86,443,443,true,FRA,Europe,Frankfurt,190,9.34
34.159.4.145,443,443,true,FRA,Europe,Frankfurt,183,9.34
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,191,9.34
34.65.0.125,443,443,true,FRA,Europe,Frankfurt,194,9.33
34.34.3.183,443,443,true,FRA,Europe,Frankfurt,178,9.32
34.91.91.214,443,443,true,FRA,Europe,Frankfurt,175,9.32
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,186,9.31
34.65.51.83,443,443,true,FRA,Europe,Frankfurt,184,9.30
34.65.139.252,443,443,true,FRA,Europe,Frankfurt,192,9.30
35.204.136.221,443,443,true,FRA,Europe,Frankfurt,190,9.30
34.116.171.197,443,443,true,FRA,Europe,Frankfurt,254,9.29
34.65.187.105,443,443,true,FRA,Europe,Frankfurt,186,9.29
34.65.211.8,443,443,true,FRA,Europe,Frankfurt,180,9.29
34.65.16.29,443,443,true,FRA,Europe,Frankfurt,200,9.29
34.65.241.250,443,443,true,FRA,Europe,Frankfurt,176,9.28
34.147.47.237,443,443,true,FRA,Europe,Frankfurt,190,9.28
34.90.82.108,443,443,true,FRA,Europe,Frankfurt,194,9.25
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,190,9.25
34.65.240.216,443,443,true,FRA,Europe,Frankfurt,173,9.24
34.65.51.83,443,443,true,FRA,Europe,Frankfurt,176,9.24
34.32.155.177,443,443,true,FRA,Europe,Frankfurt,187,9.23
34.89.140.39,443,443,true,FRA,Europe,Frankfurt,184,9.22
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,187,9.21
34.91.240.66,443,443,true,FRA,Europe,Frankfurt,201,9.20
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,243,9.20
34.65.151.75,443,443,true,FRA,Europe,Frankfurt,201,9.20
34.147.11.115,443,443,true,FRA,Europe,Frankfurt,178,9.19
34.89.189.246,443,443,true,FRA,Europe,Frankfurt,191,9.19
34.107.32.69,443,443,true,FRA,Europe,Frankfurt,258,9.17
34.65.231.140,443,443,true,FRA,Europe,Frankfurt,198,9.17
34.65.13.41,443,443,true,FRA,Europe,Frankfurt,181,9.16
34.91.209.79,443,443,true,FRA,Europe,Frankfurt,180,9.16
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,226,9.16
34.65.43.5,443,443,true,FRA,Europe,Frankfurt,188,9.15
34.34.62.39,443,443,true,FRA,Europe,Frankfurt,175,9.14
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,177,9.13
34.107.64.17,443,443,true,FRA,Europe,Frankfurt,218,9.13
34.34.73.245,443,443,true,FRA,Europe,Frankfurt,174,9.13
34.90.231.30,443,443,true,FRA,Europe,Frankfurt,180,9.12
34.65.229.126,443,443,true,FRA,Europe,Frankfurt,179,9.12
34.65.0.125,443,443,true,FRA,Europe,Frankfurt,196,9.12
34.90.231.30,443,443,true,FRA,Europe,Frankfurt,201,9.11
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,178,9.10
34.34.1.13,443,443,true,FRA,Europe,Frankfurt,192,9.10
34.91.119.232,443,443,true,FRA,Europe,Frankfurt,175,9.09
34.65.106.25,443,443,true,FRA,Europe,Frankfurt,173,9.09
34.34.24.213,443,443,true,FRA,Europe,Frankfurt,188,9.08
34.159.192.6,443,443,true,FRA,Europe,Frankfurt,201,9.07
34.141.220.180,443,443,true,FRA,Europe,Frankfurt,194,9.05
34.107.103.224,443,443,true,FRA,Europe,Frankfurt,179,9.05
34.107.57.128,443,443,true,FRA,Europe,Frankfurt,206,9.04
34.123.83.237,443,443,true,ORD,North America,Chicago,206,9.03
34.34.62.39,443,443,true,CDG,Europe,Paris,177,9.03
34.70.91.86,443,443,true,ORD,North America,Chicago,213,9.03
34.70.91.86,443,443,true,ORD,North America,Chicago,206,9.03
34.41.252.92,443,443,true,ORD,North America,Chicago,205,9.02
34.69.150.180,443,443,true,ORD,North America,Chicago,207,9.02
34.159.105.87,443,443,true,FRA,Europe,Frankfurt,197,9.02
34.72.146.82,443,443,true,ORD,North America,Chicago,206,9.02
34.130.195.13,443,443,true,YYZ,North America,Toronto,211,9.02
34.85.150.39,443,443,true,IAD,North America,Ashburn,212,9.02
34.72.146.82,443,443,true,ORD,North America,Chicago,209,9.02
34.107.103.224,443,443,true,FRA,Europe,Frankfurt,197,9.01
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,193,9.01
35.234.172.22,443,443,true,FRA,Europe,Frankfurt,191,9.01
35.202.158.120,443,443,true,ORD,North America,Chicago,208,9.01
34.66.72.229,443,443,true,ORD,North America,Chicago,205,9.01
34.123.83.237,443,443,true,ORD,North America,Chicago,219,9.00
34.41.252.92,443,443,true,ORD,North America,Chicago,205,9.00
34.72.146.82,443,443,true,ORD,North America,Chicago,213,8.99
34.65.40.201,443,443,true,FRA,Europe,Frankfurt,186,8.99
34.29.228.169,443,443,true,ORD,North America,Chicago,206,8.99
35.226.211.129,443,443,true,ORD,North America,Chicago,235,8.98
34.145.145.76,443,443,true,IAD,North America,Ashburn,281,8.98
34.65.240.216,443,443,true,FRA,Europe,Frankfurt,178,8.98
34.32.213.29,443,443,true,FRA,Europe,Frankfurt,175,8.97
34.29.228.169,443,443,true,ORD,North America,Chicago,207,8.96
34.150.180.124,443,443,true,IAD,North America,Ashburn,212,8.96
34.65.223.180,443,443,true,FRA,Europe,Frankfurt,200,8.96
34.34.59.217,443,443,true,CDG,Europe,Paris,193,8.96
34.65.235.13,443,443,true,FRA,Europe,Frankfurt,178,8.96
34.65.119.253,443,443,true,CDG,Europe,Paris,185,8.96
34.65.205.125,443,443,true,FRA,Europe,Frankfurt,192,8.95
34.91.47.18,443,443,true,FRA,Europe,Frankfurt,198,8.94
34.65.202.238,443,443,true,CDG,Europe,Paris,188,8.94
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,201,8.93
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,197,8.92
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,180,8.92
34.72.146.82,443,443,true,ORD,North America,Chicago,205,8.91
34.70.91.86,443,443,true,ORD,North America,Chicago,207,8.91
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,174,8.90
34.65.203.85,443,443,true,FRA,Europe,Frankfurt,176,8.90
34.65.202.210,443,443,true,FRA,Europe,Frankfurt,177,8.89
34.34.2.31,443,443,true,FRA,Europe,Frankfurt,176,8.88
34.91.167.118,443,443,true,FRA,Europe,Frankfurt,195,8.88
34.86.26.10,443,443,true,IAD,North America,Ashburn,211,8.88
34.65.77.80,443,443,true,FRA,Europe,Frankfurt,177,8.87
34.65.125.9,443,443,true,FRA,Europe,Frankfurt,189,8.87
34.65.51.83,443,443,true,FRA,Europe,Frankfurt,173,8.87
34.86.139.71,443,443,true,IAD,North America,Ashburn,238,8.85
34.65.27.35,443,443,true,FRA,Europe,Frankfurt,187,8.84
34.69.150.180,443,443,true,ORD,North America,Chicago,207,8.84
34.86.139.71,443,443,true,IAD,North America,Ashburn,210,8.84
34.65.62.137,443,443,true,FRA,Europe,Frankfurt,177,8.83
34.65.111.53,443,443,true,FRA,Europe,Frankfurt,199,8.82
34.90.221.59,443,443,true,FRA,Europe,Frankfurt,188,8.81
35.230.169.129,443,443,true,IAD,North America,Ashburn,210,8.80
34.116.228.159,443,443,true,FRA,Europe,Frankfurt,266,8.80
34.65.97.75,443,443,true,FRA,Europe,Frankfurt,236,8.79
34.69.150.180,443,443,true,ORD,North America,Chicago,206,8.78
35.199.37.84,443,443,true,IAD,North America,Ashburn,211,8.78
34.159.112.17,443,443,true,FRA,Europe,Frankfurt,204,8.77
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,187,8.77
